feature,shap_importance
liquidity_buffer_ratio,8.454278
liquidity_buffer_days,4.194777
inflow_outflow_ratio,1.7028247
working_capital_indicator,1.1677773
cashflow_coverage_ratio,0.65686953
risk_segment_internal_Medium,0.5642458
stress_buffer_interaction,0.49209848
merchant_category_encoded,0.45460108
merchant_sub_category_Supermarket,0.4301025
merchant_state_encoded,0.4007564
merchant_category_Retail,0.39460447
merchant_city_Surat,0.3895764
merchant_state_Maharashtra,0.3647825
merchant_sub_category_encoded,0.3427544
net_cash_flow,0.3319592
stress_intensity_score,0.25334913
rolling_7d_outflow,0.25321832
risk_segment_internal_encoded,0.24121045
merchant_category_Pharmacy,0.23895428
merchant_state_Gujarat,0.2135099
rolling_3d_inflow,0.1999897
merchant_city_encoded,0.19568275
merchant_category_Grocery,0.19386098
credit_utilization_ratio,0.18032351
daily_inflow,0.17949362
daily_outflow_estimated,0.1793978
rolling_7d_inflow_cv,0.17225078
rolling_7d_volatility,0.17169224
rolling_14d_inflow,0.16438948
rolling_7d_inflow,0.15925105
revenue_decline_pct,0.15722425
merchant_city_Pune,0.14929685
rolling_7d_net_cashflow,0.1490528
debt_service_ratio,0.12719487
merchant_sub_category_MobileShop,0.12678525
risk_segment_internal_Low,0.12441687
month,0.11634883
merchant_city_Mumbai,0.11393579
gap_volatility_interaction,0.111658156
merchant_category_Food,0.10501818
stress_score_composite,0.09627858
transaction_count,0.091927946
merchant_sub_category_Medical,0.07353496
credit_vol_interaction,0.07149283
is_weekend,0.057878736
merchant_sub_category_Restaurant,0.05530162
revenue_drop_7d,0.051717535
kyc_status_Verified,0.046613287
revdrop_credit_interaction,0.04570761
consecutive_drop_days,0.043958563
volatility_score_normalized,0.03802763
kyc_status_encoded,0.025603555
revenue_drop_significant,0.024867292
merchant_city_Delhi,0.017133614
revenue_drop_severe,0.0
